Destination,Origin,Rejected
Germany,Cambodia,*
Germany,Kiribati,
Germany,Rep. of Korea,0
Germany,Rep. of Korea,
Germany,Kuwait,0
Germany,Kuwait,*
Germany,Lao People's Dem. Rep.,
Germany,Lao People's Dem. Rep.,0
Germany,Lao People's Dem. Rep.,
Germany,Lebanon,2785
Germany,Lebanon,68
Germany,Lebanon,69
Germany,Liberia,*
Germany,Liberia,22
Germany,Liberia,*
Germany,Libya,22
Germany,Libya,680
Germany,Libya,9
Germany,Sri Lanka,62
Germany,Sri Lanka,*
Germany,Sri Lanka,147
Germany,Lesotho,
Germany,Lesotho,0
Germany,Lithuania,
Germany,Lithuania,0
Germany,Lithuania,*
Germany,Luxembourg,0
Germany,Latvia,0
Germany,Latvia,
Germany,Latvia,*
Germany,Morocco,214
Germany,Morocco,33
Germany,Morocco,3004
Germany,Rep. of Moldova,*
Germany,Rep. of Moldova,9
Germany,Rep. of Moldova,2826
Germany,Madagascar,*
Germany,Madagascar,0
Germany,Mexico,
Germany,Mexico,*
Germany,Mexico,0
Germany,The former Yugoslav Republic of Macedonia,1726
Germany,The former Yugoslav Republic of Macedonia,1361
Germany,The former Yugoslav Republic of Macedonia,7815
Germany,Mali,266
Germany,Mali,*
Germany,Mali,56
Germany,Myanmar,0
Germany,Myanmar,*
Germany,Myanmar,
Germany,Montenegro,137
Germany,Montenegro,2439
Germany,Montenegro,406
Germany,Mongolia,*
Germany,Mongolia,111
Germany,Mongolia,12
Germany,Mozambique,0
Germany,Mozambique,
Germany,Mauritania,*
Germany,Mauritania,18
Germany,Mauritania,*
Germany,Mauritius,
Germany,Mauritius,0
Germany,Mauritius,*
Germany,Malawi,
Germany,Malawi,0
Germany,Malawi,
Germany,Malaysia,
Germany,Namibia,
Germany,Namibia,*
Germany,Namibia,*
Germany,Niger,5
Germany,Niger,60
Germany,Niger,14
Germany,Nigeria,144
Germany,Nigeria,1774
Germany,Nigeria,13
Germany,Nicaragua,0
Germany,Nicaragua,
Germany,Netherlands,*
Germany,Netherlands,
Germany,Netherlands,0
Germany,Norway,
Germany,Norway,0
Germany,Nepal,*
Germany,Nepal,*
Germany,Nepal,
Germany,New Zealand,
Germany,Oman,
Germany,Pakistan,743
Germany,Pakistan,8109
Germany,Pakistan,92
Germany,Peru,0
Germany,Peru,*
Germany,Peru,
Germany,Philippines,5
Germany,Philippines,
Germany,Philippines,7
Germany,Palau,0
Germany,Poland,10
Germany,Poland,
Germany,Poland,0
Germany,Dem. People's Rep. of Korea,0
Germany,Dem. People's Rep. of Korea,*
Germany,Dem. People's Rep. of Korea,
Germany,Portugal,*
Germany,Portugal,0
Germany,Paraguay,
Germany,Palestinian,
Germany,Qatar,
Germany,Romania,0
Germany,Romania,
Germany,Romania,*
Germany,Russia,5459
Germany,Russia,253
Germany,Russia,592
Germany,Rwanda,*
Germany,Rwanda,
Germany,Rwanda,*
Germany,Saudi Arabia,12
Germany,Saudi Arabia,
Germany,Saudi Arabia,0
Germany,Sudan,30
Germany,Sudan,157
Germany,Sudan,
Germany,Senegal,1270
Germany,Senegal,*
Germany,Senegal,218
Germany,Singapore,0
Germany,Solomon Islands,0
Germany,Solomon Islands,
Germany,Sierra Leone,*
Germany,Sierra Leone,9
Germany,Sierra Leone,46
Germany,El Salvador,0
Germany,El Salvador,*
Germany,Somalia,122
Germany,Somalia,12
Germany,Somalia,582
Germany,Serbia and Kosovo (S/RES/1244 (1999)),7083
Germany,Serbia and Kosovo (S/RES/1244 (1999)),3190
Germany,Serbia and Kosovo (S/RES/1244 (1999)),25836
Germany,South Sudan,7
Germany,South Sudan,
Germany,South Sudan,*
Germany,Sao Tome and Principe,
Germany,Sao Tome and Principe,
Germany,Suriname,
Germany,Slovakia,
Germany,Slovakia,0
Germany,Slovakia,
Germany,Slovenia,
Germany,Slovenia,
Germany,Sweden,
Germany,Sweden,
Germany,Sweden,*
Germany,Swaziland,
Germany,Swaziland,0
Germany,Seychelles,0
Germany,Syrian Arab Rep.,843
Germany,Syrian Arab Rep.,158
Germany,Syrian Arab Rep.,9
Germany,Chad,9
Germany,Chad,43
Germany,Chad,*
Germany,Togo,31
Germany,Togo,
Germany,Togo,12
Germany,Thailand,
Germany,Thailand,0
Germany,Thailand,
Germany,Tajikistan,14
Germany,Tajikistan,
Germany,Tajikistan,172
Germany,Turkmenistan,185
Germany,Turkmenistan,0
Germany,Turkmenistan,
Germany,Timor-Leste,
Germany,Trinidad and Tobago,0
Germany,Trinidad and Tobago,
Germany,Tunisia,854
Germany,Tunisia,130
Germany,Tunisia,31
Germany,Turkey,643
Germany,Turkey,88
Germany,Turkey,62
Germany,United Rep. of Tanzania,*
Germany,United Rep. of Tanzania,*
Germany,United Rep. of Tanzania,*
Germany,Uganda,
Germany,Uganda,*
Germany,Uganda,15
Germany,Ukraine,179
Germany,Ukraine,20
Germany,Ukraine,2260
Germany,Uruguay,
Germany,United States,*
Germany,United States,0
Germany,United States,
Germany,Uzbekistan,*
Germany,Uzbekistan,
Germany,Uzbekistan,0
Germany,Venezuela (Bolivarian Republic of),22
Germany,Venezuela (Bolivarian Republic of),
Germany,Venezuela (Bolivarian Republic of),*
Germany,British Virgin Islands,0
Germany,Viet Nam,737
Germany,Viet Nam,8
Germany,Viet Nam,12
Germany,Stateless,6
Germany,Stateless,21
Germany,Stateless,295
Germany,Various/Unknown,25
Germany,Various/Unknown,2313
Germany,Various/Unknown,223
Germany,Yemen,
Germany,Yemen,0
Germany,Yemen,*
Germany,South Africa,
Germany,South Africa,10
Germany,South Africa,0
Germany,Zambia,
Germany,Zambia,*
Germany,Zimbabwe,
Germany,Zimbabwe,22
Germany,Zimbabwe,*
Italy,Afghanistan,124
Italy,Angola,*
Italy,Albania,123
Italy,Argentina,*
Italy,Armenia,9
Italy,Azerbaijan,*
Italy,Burundi,*
Italy,Benin,148
Italy,Burkina Faso,369
Italy,Bangladesh,4616
Italy,Bahamas,*
Italy,Bosnia and Herzegovina,59
Italy,Belarus,*
Italy,Bolivia (Plurinational State of),0
Italy,Brazil,23
Italy,Botswana,0
Italy,Central African Rep.,*
Italy,Canada,0
Italy,Chile,*
Italy,China,240
Italy,Côte d'Ivoire,2633
Italy,Cameroon,334
Italy,Dem. Rep. of the Congo,20
Italy,Congo,24
Italy,Colombia,13
Italy,Comoros,*
Italy,Cabo Verde,*
Italy,Costa Rica,0
Italy,Cuba,19
Italy,Djibouti,0
Italy,Dominican Rep.,13
Italy,Algeria,105
Italy,Ecuador,10
Italy,Egypt,261
Italy,Eritrea,78
Italy,Western Sahara,*
Italy,Ethiopia,27
Italy,Fiji,0
Italy,Gabon,*
Italy,Georgia,43
Italy,Ghana,2694
Italy,Guinea,1813
Italy,Gambia,5866
Italy,Guinea-Bissau,502
Italy,Equatorial Guinea,*
Italy,Grenada,0
Italy,Guatemala,0
Italy,Guyana,*
Italy,Honduras,*
Italy,Haiti,0
Italy,Indonesia,*
Italy,India,221
Italy,Iran (Islamic Rep. of),58
Italy,Iraq,46
Italy,Israel,*
Italy,Jamaica,0
Italy,Jordan,*
Italy,Kazakhstan,*
Italy,Kenya,7
Italy,Kyrgyzstan,*
Italy,Cambodia,*
Italy,Rep. of Korea,0
Italy,Kuwait,0
Italy,Lebanon,19
Italy,Liberia,97
Italy,Libya,25
Italy,Sri Lanka,45
Italy,Lesotho,0
Italy,Morocco,311
Italy,Rep. of Moldova,11
Italy,Madagascar,*
Italy,Mexico,*
Italy,The former Yugoslav Republic of Macedonia,5
Italy,Mali,3897
Italy,Myanmar,5
Italy,Montenegro,11
Italy,Mozambique,0
Italy,Mauritania,34
Italy,Mauritius,*
Italy,Malawi,0
Italy,Namibia,*
Italy,Niger,120
Italy,Nigeria,13795
Italy,Nicaragua,9
Italy,Norway,0
Italy,Nepal,9
Italy,Pakistan,7332
Italy,Panama,0
Italy,Peru,12
Italy,Philippines,19
Italy,Palau,0
Italy,Paraguay,*
Italy,Palestinian,9
Italy,Russia,12
Italy,Rwanda,*
Italy,Saudi Arabia,0
Italy,Sudan,58
Italy,Senegal,4900
Italy,Sierra Leone,147
Italy,El Salvador,32
Italy,San Marino,0
Italy,Somalia,46
Italy,Serbia and Kosovo (S/RES/1244 (1999)),219
Italy,South Sudan,*
Italy,Swaziland,*
Italy,Syrian Arab Rep.,16
Italy,Chad,23
Italy,Togo,281
Italy,Thailand,*
Italy,Tajikistan,0
Italy,Tunisia,147
Italy,Turkey,48
Italy,United Rep. of Tanzania,*
Italy,Uganda,7
Italy,Ukraine,1394
Italy,Uruguay,*
Italy,United States,*
Italy,Uzbekistan,0
Italy,Venezuela (Bolivarian Republic of),14
Italy,Viet Nam,0
Italy,Various/Unknown,802
Italy,Yemen,0
Italy,South Africa,0
Italy,Zambia,0
Italy,Zimbabwe,*
Japan,Bangladesh,68
Japan,Bangladesh,250
Japan,China,
Japan,Cameroon,
Japan,Ghana,77
Japan,Indonesia,1742
Japan,Indonesia,290
Japan,India,
Japan,India,248
Japan,Iran (Islamic Rep. of),
Japan,Cambodia,
Japan,Sri Lanka,464
Japan,Sri Lanka,
Japan,Myanmar,195
Japan,Myanmar,319
Japan,Nigeria,
Japan,Nepal,841
Japan,Nepal,277
Japan,Pakistan,241
Japan,Pakistan,84
Japan,Philippines,775
Japan,Philippines,124
Japan,Thailand,
Japan,Turkey,888
Japan,Turkey,373
Japan,Uganda,
Japan,Viet Nam,175
Japan,Viet Nam,1213
Japan,Various/Unknown,449
Japan,Various/Unknown,511
Netherlands,Afghanistan,155
Netherlands,Afghanistan,838
Netherlands,Angola,*
Netherlands,Angola,8
Netherlands,Albania,621
Netherlands,Albania,9
Netherlands,United Arab Emirates,
Netherlands,United Arab Emirates,
Netherlands,Argentina,39
Netherlands,Armenia,15
Netherlands,Armenia,21
Netherlands,Azerbaijan,9
Netherlands,Azerbaijan,10
Netherlands,Burundi,10
Netherlands,Burundi,6
Netherlands,Benin,*
Netherlands,Benin,
Netherlands,Burkina Faso,*
Netherlands,Burkina Faso,*
Netherlands,Bangladesh,*
Netherlands,Bangladesh,16
Netherlands,Bosnia and Herzegovina,
Netherlands,Bosnia and Herzegovina,186
Netherlands,Belarus,*
Netherlands,Belarus,*
Netherlands,Brazil,*
Netherlands,Central African Rep.,
Netherlands,Canada,
Netherlands,Chile,
Netherlands,China,31
Netherlands,China,6
Netherlands,Côte d'Ivoire,7
Netherlands,Côte d'Ivoire,9
Netherlands,Cameroon,*
Netherlands,Cameroon,6
Netherlands,Dem. Rep. of the Congo,*
Netherlands,Dem. Rep. of the Congo,*
Netherlands,Congo,21
Netherlands,Congo,20
Netherlands,Colombia,15
Netherlands,Cabo Verde,*
Netherlands,Cabo Verde,*
Netherlands,Cuba,
Netherlands,Cuba,13
Netherlands,Djibouti,
Netherlands,Dominican Rep.,*
Netherlands,Algeria,158
Netherlands,Algeria,5
Netherlands,Ecuador,
Netherlands,Egypt,
Netherlands,Egypt,19
Netherlands,Eritrea,145
Netherlands,Eritrea,24
Netherlands,Ethiopia,11
Netherlands,Ethiopia,45
Netherlands,France,
Netherlands,Gabon,*
Netherlands,Georgia,109
Netherlands,Georgia,11
Netherlands,Ghana,*
Netherlands,Ghana,10
Netherlands,Guinea,41
Netherlands,Guinea,19
Netherlands,Gambia,
Netherlands,Gambia,19
Netherlands,Guinea-Bissau,*
Netherlands,Greece,
Netherlands,Guyana,0
Netherlands,Honduras,
Netherlands,Honduras,*
Netherlands,Croatia,
Netherlands,Haiti,
Netherlands,Indonesia,
Netherlands,Indonesia,*
Netherlands,India,6
Netherlands,India,23
Netherlands,Iran (Islamic Rep. of),51
Netherlands,Iran (Islamic Rep. of),349
Netherlands,Iraq,721
Netherlands,Iraq,217
Netherlands,Israel,*
Netherlands,Jamaica,10
Netherlands,Jamaica,*
Netherlands,Jordan,
Netherlands,Jordan,13
Netherlands,Japan,
Netherlands,Kazakhstan,*
Netherlands,Kazakhstan,
Netherlands,Kenya,*
Netherlands,Kenya,
Netherlands,Kyrgyzstan,
Netherlands,Kyrgyzstan,*
Netherlands,Saint Kitts and Nevis,
Netherlands,Rep. of Korea,*
Netherlands,Kuwait,0
Netherlands,Kuwait,
Netherlands,Lebanon,28
Netherlands,Lebanon,
Netherlands,Liberia,*
Netherlands,Liberia,
Netherlands,Libya,14
Netherlands,Libya,49
Netherlands,Sri Lanka,28
Netherlands,Sri Lanka,15
Netherlands,Morocco,6
Netherlands,Morocco,224
Netherlands,Rep. of Moldova,
Netherlands,Rep. of Moldova,*
Netherlands,Madagascar,
Netherlands,Madagascar,
Netherlands,Maldives,
Netherlands,Mexico,*
Netherlands,The former Yugoslav Republic of Macedonia,172
Netherlands,The former Yugoslav Republic of Macedonia,*
Netherlands,Mali,6
Netherlands,Mali,*
Netherlands,Myanmar,
Netherlands,Myanmar,*
Netherlands,Montenegro,24
Netherlands,Mongolia,331
Netherlands,Mongolia,*
Netherlands,Mozambique,
Netherlands,Mauritania,
Netherlands,Mauritania,
Netherlands,Malawi,*
Netherlands,Malaysia,*
Netherlands,Namibia,
Netherlands,Niger,*
Netherlands,Niger,
Netherlands,Nigeria,103
Netherlands,Nigeria,44
Netherlands,Nicaragua,*
Netherlands,Nepal,15
Netherlands,Nepal,*
Netherlands,Oman,
Netherlands,Pakistan,59
Netherlands,Pakistan,11
Netherlands,Peru,*
Netherlands,Philippines,*
Netherlands,Philippines,*
Netherlands,Dem. People's Rep. of Korea,0
Netherlands,Dem. People's Rep. of Korea,
Netherlands,Palestinian,*
Netherlands,Palestinian,*
Netherlands,Russia,48
Netherlands,Russia,8
Netherlands,Rwanda,*
Netherlands,Rwanda,*
Netherlands,Saudi Arabia,*
Netherlands,Saudi Arabia,
Netherlands,Sudan,12
Netherlands,Sudan,72
Netherlands,Senegal,*
Netherlands,Senegal,11
Netherlands,Sierra Leone,16
Netherlands,Sierra Leone,21
Netherlands,El Salvador,5
Netherlands,Somalia,78
Netherlands,Somalia,55
Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),657
Netherlands,Serbia and Kosovo (S/RES/1244 (1999)),*
Netherlands,South Sudan,
Netherlands,South Sudan,
Netherlands,Suriname,
Netherlands,Suriname,7
Netherlands,Swaziland,
Netherlands,Syrian Arab Rep.,576
Netherlands,Syrian Arab Rep.,6
Netherlands,Chad,0
Netherlands,Chad,*
Netherlands,Togo,*
Netherlands,Togo,*
Netherlands,Thailand,
Netherlands,Tajikistan,*
Netherlands,Tajikistan,*
Netherlands,Turkmenistan,*
Netherlands,Trinidad and Tobago,*
Netherlands,Tunisia,*
Netherlands,Tunisia,37
Netherlands,Turkey,33
Netherlands,Turkey,*
Netherlands,United Rep. of Tanzania,*
Netherlands,United Rep. of Tanzania,5
Netherlands,Uganda,*
Netherlands,Uganda,21
Netherlands,Ukraine,18
Netherlands,Ukraine,171
Netherlands,Uruguay,
Netherlands,United States,*
Netherlands,United States,
Netherlands,Uzbekistan,*
Netherlands,Uzbekistan,*
Netherlands,Venezuela (Bolivarian Republic of),12
Netherlands,Viet Nam,32
Netherlands,Viet Nam,
Netherlands,Vanuatu,
Netherlands,Stateless,86
Netherlands,Stateless,13
Netherlands,Various/Unknown,37
Netherlands,Various/Unknown,104
Netherlands,Yemen,*
Netherlands,Yemen,0
Netherlands,South Africa,9
Netherlands,Zambia,*
Netherlands,Zimbabwe,8
Netherlands,Zimbabwe,*
New Zealand,Afghanistan,5
New Zealand,Bangladesh,14
New Zealand,Bulgaria,*
New Zealand,Bahrain,*
New Zealand,Bolivia (Plurinational State of),0
New Zealand,Brazil,*
New Zealand,Chile,0
New Zealand,China,12
New Zealand,Cameroon,*
New Zealand,Dem. Rep. of the Congo,*
New Zealand,Colombia,*
New Zealand,Czech Rep.,0
New Zealand,Germany,*
New Zealand,Egypt,*
New Zealand,Eritrea,0
New Zealand,Ethiopia,*
New Zealand,Finland,0
New Zealand,Fiji,20
New Zealand,United Kingdom,*
New Zealand,Georgia,*
New Zealand,Ghana,*
New Zealand,Gambia,*
New Zealand,Hungary,*
New Zealand,Indonesia,*
New Zealand,India,30
New Zealand,Iran (Islamic Rep. of),9
New Zealand,Iraq,5
New Zealand,Israel,*
New Zealand,Jordan,*
New Zealand,Japan,0
New Zealand,Kazakhstan,0
New Zealand,Rep. of Korea,*
New Zealand,Lebanon,0
New Zealand,Liberia,0
New Zealand,Libya,0
New Zealand,Sri Lanka,20
New Zealand,Morocco,0
New Zealand,Maldives,0
New Zealand,Mexico,0
New Zealand,Myanmar,*
New Zealand,Malaysia,6
New Zealand,Nigeria,*
New Zealand,Nepal,*
New Zealand,Nauru,*
New Zealand,Oman,0
New Zealand,Pakistan,11
New Zealand,Philippines,*
New Zealand,Papua New Guinea,0
New Zealand,Palestinian,0
New Zealand,Russia,*
New Zealand,Saudi Arabia,10
New Zealand,Singapore,*
New Zealand,Somalia,*
New Zealand,Serbia and Kosovo (S/RES/1244 (1999)),*
New Zealand,Syrian Arab Rep.,0
New Zealand,Togo,0
New Zealand,Thailand,0
New Zealand,Tonga,6
New Zealand,Turkey,*
New Zealand,Tuvalu,6
New Zealand,Uganda,6
New Zealand,Venezuela (Bolivarian Republic of),0
New Zealand,Viet Nam,*
New Zealand,Samoa,0
New Zealand,Various/Unknown,103
New Zealand,Yemen,0
New Zealand,South Africa,16
New Zealand,Zimbabwe,*
Saudi Arabia,Afghanistan,
Saudi Arabia,China,
Saudi Arabia,Eritrea,
Saudi Arabia,Iraq,
Saudi Arabia,Syrian Arab Rep.,
Saudi Arabia,Chad,
Saudi Arabia,Yemen,
Singapore,Bangladesh,
Singapore,Liberia,*
South Africa,Afghanistan,*
South Africa,Afghanistan,
South Africa,Angola,*
South Africa,Angola,
South Africa,Albania,
South Africa,Burundi,
South Africa,Burundi,1547
South Africa,Benin,21
South Africa,Benin,
South Africa,Burkina Faso,
South Africa,Bangladesh,
South Africa,Bangladesh,2575
South Africa,Bulgaria,*
South Africa,Bulgaria,
South Africa,Bahrain,*
South Africa,Bahamas,
South Africa,Bahamas,
South Africa,Bosnia and Herzegovina,
South Africa,Belarus,
South Africa,Bolivia (Plurinational State of),
South Africa,Botswana,
South Africa,Botswana,
South Africa,Central African Rep.,*
South Africa,Central African Rep.,
South Africa,Chile,
South Africa,China,
South Africa,China,148
South Africa,Côte d'Ivoire,
South Africa,Côte d'Ivoire,26
South Africa,Cameroon,152
South Africa,Cameroon,
South Africa,Dem. Rep. of the Congo,5875
South Africa,Dem. Rep. of the Congo,
South Africa,Congo,
South Africa,Congo,747
South Africa,Colombia,
South Africa,Comoros,
South Africa,Comoros,
South Africa,Cuba,
South Africa,Czech Rep.,
South Africa,Germany,
South Africa,Germany,
South Africa,Algeria,19
South Africa,Algeria,
South Africa,Egypt,
South Africa,Egypt,113
South Africa,Eritrea,
South Africa,Eritrea,181
South Africa,Western Sahara,
South Africa,Estonia,*
South Africa,Estonia,
South Africa,Ethiopia,
South Africa,Ethiopia,7460
South Africa,Fiji,
South Africa,Gabon,
South Africa,Gabon,13
South Africa,Ghana,984
South Africa,Ghana,
South Africa,Guinea,12
South Africa,Guinea,
South Africa,Gambia,
South Africa,Gambia,7
South Africa,Guinea-Bissau,*
South Africa,Guinea-Bissau,
South Africa,Guyana,*
South Africa,Haiti,
South Africa,Hungary,
South Africa,Indonesia,
South Africa,Indonesia,*
South Africa,India,
South Africa,India,653
South Africa,Ireland,
South Africa,Ireland,
South Africa,Iran (Islamic Rep. of),
South Africa,Iran (Islamic Rep. of),
South Africa,Iraq,*
South Africa,Iraq,
South Africa,Iceland,*
South Africa,Israel,
South Africa,Israel,
South Africa,Jamaica,
South Africa,Jamaica,*
South Africa,Jordan,
South Africa,Jordan,7
South Africa,Kenya,
South Africa,Kenya,179
South Africa,Kyrgyzstan,*
South Africa,Saint Kitts and Nevis,
South Africa,Lebanon,
South Africa,Liberia,
South Africa,Liberia,25
South Africa,Libya,
South Africa,Libya,5
South Africa,Sri Lanka,*
South Africa,Sri Lanka,
South Africa,Lesotho,
South Africa,Lesotho,22
South Africa,"China, Macao SAR",
South Africa,Morocco,
South Africa,Morocco,5
South Africa,Rep. of Moldova,
South Africa,Madagascar,
South Africa,Madagascar,*
South Africa,The former Yugoslav Republic of Macedonia,
South Africa,Mali,18
South Africa,Mali,
South Africa,Myanmar,
South Africa,Myanmar,
South Africa,Mozambique,470
South Africa,Mozambique,
South Africa,Mauritania,*
South Africa,Mauritius,*
South Africa,Mauritius,
South Africa,Malawi,
South Africa,Malawi,1642
South Africa,Namibia,
South Africa,Namibia,*
South Africa,Niger,18
South Africa,Niger,
South Africa,Nigeria,
South Africa,Nigeria,3096
South Africa,Nepal,
South Africa,Nepal,62
South Africa,Pakistan,1195
South Africa,Pakistan,
South Africa,Philippines,
South Africa,Palau,
South Africa,Portugal,
South Africa,Palestinian,5
South Africa,Palestinian,
South Africa,Russia,
South Africa,Russia,*
South Africa,Rwanda,139
South Africa,Rwanda,
South Africa,Sudan,
South Africa,Sudan,10
South Africa,Senegal,189
South Africa,Senegal,
South Africa,Solomon Islands,*
South Africa,Sierra Leone,
South Africa,Sierra Leone,*
South Africa,El Salvador,
South Africa,Somalia,904
South Africa,Somalia,
South Africa,Serbia and Kosovo (S/RES/1244 (1999)),
South Africa,Serbia and Kosovo (S/RES/1244 (1999)),*
South Africa,Sao Tome and Principe,
South Africa,Suriname,*
South Africa,Swaziland,
South Africa,Swaziland,22
South Africa,Syrian Arab Rep.,
South Africa,Syrian Arab Rep.,12
South Africa,Chad,
South Africa,Togo,
South Africa,Togo,5
South Africa,Thailand,
South Africa,Thailand,41
South Africa,Timor-Leste,*
South Africa,Tunisia,*
South Africa,Tunisia,
South Africa,Turkey,
South Africa,Turkey,
South Africa,Tuvalu,
South Africa,United Rep. of Tanzania,335
South Africa,United Rep. of Tanzania,
South Africa,Uganda,
South Africa,Uganda,851
South Africa,Ukraine,
South Africa,Ukraine,
South Africa,Uzbekistan,
South Africa,Venezuela (Bolivarian Republic of),*
South Africa,Viet Nam,
South Africa,Viet Nam,
South Africa,Wallis and Futuna Islands ,*
South Africa,Samoa,
South Africa,Various/Unknown,
South Africa,Various/Unknown,260
South Africa,Yemen,*
South Africa,Yemen,
South Africa,Zambia,
South Africa,Zambia,114
South Africa,Zimbabwe,
South Africa,Zimbabwe,7869
Spain,Afghanistan,6
Spain,Angola,*
Spain,Albania,*
Spain,United Arab Emirates,*
Spain,Argentina,*
Spain,Armenia,8
Spain,Azerbaijan,*
Spain,Benin,*
Spain,Burkina Faso,5
Spain,Bangladesh,*
Spain,Bulgaria,
Spain,Bosnia and Herzegovina,*
Spain,Belarus,*
Spain,Bolivia (Plurinational State of),*
Spain,Brazil,6
Spain,Central African Rep.,*
Spain,Chile,*
Spain,China,*
Spain,Côte d'Ivoire,8
Spain,Cameroon,19
Spain,Dem. Rep. of the Congo,17
Spain,Congo,
Spain,Colombia,93
Spain,Cabo Verde,
Spain,Costa Rica,
Spain,Cuba,16
Spain,Germany,
Spain,Dominican Rep.,
Spain,Algeria,401
Spain,Ecuador,*
Spain,Egypt,13
Spain,Eritrea,
Spain,Western Sahara,*
Spain,Ethiopia,
Spain,Gabon,
Spain,Georgia,8
Spain,Ghana,*
Spain,Guinea,32
Spain,Gambia,8
Spain,Guinea-Bissau,5
Spain,Equatorial Guinea,*
Spain,Greece,
Spain,Guatemala,
Spain,Honduras,6
Spain,Haiti,
Spain,India,
Spain,Iran (Islamic Rep. of),17
Spain,Iraq,*
Spain,Israel,7
Spain,Jordan,
Spain,Kazakhstan,*
Spain,Kenya,
Spain,Kyrgyzstan,
Spain,Lebanon,*
Spain,Liberia,*
Spain,Libya,*
Spain,Sri Lanka,*
Spain,Morocco,76
Spain,Rep. of Moldova,*
Spain,Mexico,
Spain,The former Yugoslav Republic of Macedonia,
Spain,Mali,1016
Spain,Myanmar,
Spain,Montenegro,
Spain,Mongolia,
Spain,Mauritania,
Spain,Mauritius,
Spain,Niger,*
Spain,Nigeria,21
Spain,Nicaragua,
Spain,Oman,*
Spain,Pakistan,46
Spain,Panama,
Spain,Peru,10
Spain,Dem. People's Rep. of Korea,
Spain,Paraguay,
Spain,Palestinian,19
Spain,Russia,24
Spain,Rwanda,*
Spain,Saudi Arabia,
Spain,Sudan,5
Spain,Senegal,7
Spain,Sierra Leone,*
Spain,El Salvador,8
Spain,Somalia,9
Spain,Serbia and Kosovo (S/RES/1244 (1999)),10
Spain,South Sudan,
Spain,Syrian Arab Rep.,59
Spain,Chad,*
Spain,Togo,7
Spain,Tibetan,
Spain,Tajikistan,
Spain,Turkmenistan,
Spain,Tunisia,12
Spain,Turkey,*
Spain,United Rep. of Tanzania,
Spain,Uganda,
Spain,Ukraine,345
Spain,Uruguay,
Spain,United States,
Spain,Uzbekistan,
Spain,Venezuela (Bolivarian Republic of),
Spain,Viet Nam,
Spain,Various/Unknown,
Spain,Yemen,
Spain,South Africa,
Spain,Zimbabwe,
Sweden,Afghanistan,1525
Sweden,Afghanistan,4031
Sweden,Afghanistan,122
Sweden,Angola,*
Sweden,Angola,10
Sweden,Angola,5
Sweden,Albania,867
Sweden,Albania,42
Sweden,Albania,799
Sweden,United Arab Emirates,0
Sweden,Argentina,5
Sweden,Argentina,*
Sweden,Armenia,63
Sweden,Armenia,221
Sweden,Armenia,192
Sweden,Australia,*
Sweden,Azerbaijan,74
Sweden,Azerbaijan,157
Sweden,Azerbaijan,155
Sweden,Burundi,16
Sweden,Burundi,*
Sweden,Burundi,14
Sweden,Benin,0
Sweden,Benin,0
Sweden,Benin,*
Sweden,Burkina Faso,0
Sweden,Burkina Faso,*
Sweden,Burkina Faso,*
Sweden,Bangladesh,126
Sweden,Bangladesh,16
Sweden,Bangladesh,83
Sweden,Bulgaria,*
Sweden,Bulgaria,*
Sweden,Bulgaria,11
Sweden,Bahrain,0
Sweden,Bosnia and Herzegovina,195
Sweden,Bosnia and Herzegovina,35
Sweden,Bosnia and Herzegovina,138
Sweden,Belarus,82
Sweden,Belarus,33
Sweden,Belarus,75
Sweden,Bolivia (Plurinational State of),14
Sweden,Bolivia (Plurinational State of),11
Sweden,Bolivia (Plurinational State of),20
Sweden,Brazil,10
Sweden,Brazil,*
Sweden,Brazil,14
Sweden,Barbados,0
Sweden,Bhutan,0
Sweden,Central African Rep.,0
Sweden,Central African Rep.,*
Sweden,Canada,*
Sweden,Canada,*
Sweden,Canada,*
Sweden,Chile,20
Sweden,Chile,*
Sweden,Chile,5
Sweden,China,6
Sweden,China,46
Sweden,China,21
Sweden,Côte d'Ivoire,13
Sweden,Côte d'Ivoire,*
Sweden,Côte d'Ivoire,14
Sweden,Cameroon,22
Sweden,Cameroon,*
Sweden,Cameroon,28
Sweden,Dem. Rep. of the Congo,7
Sweden,Dem. Rep. of the Congo,16
Sweden,Dem. Rep. of the Congo,13
Sweden,Congo,9
Sweden,Congo,*
Sweden,Congo,5
Sweden,Colombia,*
Sweden,Colombia,11
Sweden,Colombia,57
Sweden,Comoros,0
Sweden,Comoros,0
Sweden,Cabo Verde,*
Sweden,Cabo Verde,0
Sweden,Costa Rica,*
Sweden,Costa Rica,0
Sweden,Cuba,17
Sweden,Cuba,21
Sweden,Cuba,36
Sweden,Cyprus,0
Sweden,Germany,*
Sweden,Germany,0
Sweden,Djibouti,19
Sweden,Djibouti,15
Sweden,Djibouti,9
Sweden,Denmark,0
Sweden,Dominican Rep.,0
Sweden,Dominican Rep.,*
Sweden,Dominican Rep.,*
Sweden,Algeria,49
Sweden,Algeria,72
Sweden,Algeria,47
Sweden,Ecuador,0
Sweden,Ecuador,*
Sweden,Ecuador,*
Sweden,Egypt,123
Sweden,Egypt,284
Sweden,Egypt,29
Sweden,Eritrea,8
Sweden,Eritrea,38
Sweden,Eritrea,198
Sweden,Spain,6
Sweden,Spain,0
